# i18n residual strings — clawmetry/static/js/app.js
# Generated: 2026-05-29  Total: 89 sites (46 Class B, 43 Class D)
# Related: https://github.com/vivekchand/clawmetry/issues/2258
# Class B = JS-concat boundary; static English fragment + interpolated expression
# Class D = multi-tag innerHTML blob; all text nodes need extraction
file	line	class	english	suggested_key
clawmetry/static/js/app.js	13102	B	Failed to load tool policy: '+escHtml(String(e))+	app.failed_load_tool_policy_eschtml
clawmetry/static/js/app.js	13142	B	Failed to load approval audit: '+escHtml(String(e))+	app.failed_load_approval_audit_eschtml
clawmetry/static/js/app.js	13154	D	Version not detected Could not detect OpenClaw version from config.	app.version_not_detected_could_not
clawmetry/static/js/app.js	13235	D	No sessions found to cluster.	app.sessions_found_cluster
clawmetry/static/js/app.js	13329	B	' + _maEmpty +	app.maempty
clawmetry/static/js/app.js	13573	B	' + parsed.html +	app.parsed_html
clawmetry/static/js/app.js	13913	D	Loading flow runs…	app.loading_flow_runs
clawmetry/static/js/app.js	13921	D	No historical flow runs yet. The live Flow view will populate this once a session completes.	app.historical_flow_runs_yet_live
clawmetry/static/js/app.js	13951	D	Failed to load flow runs.	app.failed_load_flow_runs
clawmetry/static/js/app.js	14131	D	Ingest temporarily offline. Live flow events unavailable; the local_store writer is not responding.	app.ingest_temporarily_offline_live_flow
clawmetry/static/js/app.js	15416	D	Loading TUI messages...	app.loading_tui_messages
clawmetry/static/js/app.js	15426	D	Loading messages...	app.loading_messages
clawmetry/static/js/app.js	15434	D	Loading iMessages...	app.loading_imessages
clawmetry/static/js/app.js	15442	D	Loading WhatsApp messages...	app.loading_whatsapp_messages
clawmetry/static/js/app.js	15450	D	Loading Signal messages...	app.loading_signal_messages
clawmetry/static/js/app.js	15458	D	Loading Discord messages...	app.loading_discord_messages
clawmetry/static/js/app.js	15466	D	Loading Slack messages...	app.loading_slack_messages
clawmetry/static/js/app.js	15474	D	Loading Google Chat messages...	app.loading_google_chat_messages
clawmetry/static/js/app.js	15482	D	Loading MS Teams messages...	app.loading_teams_messages
clawmetry/static/js/app.js	15490	D	Loading Mattermost messages...	app.loading_mattermost_messages
clawmetry/static/js/app.js	15498	D	Loading WebChat...	app.loading_webchat
clawmetry/static/js/app.js	15514	D	Loading BlueBubbles...	app.loading_bluebubbles
clawmetry/static/js/app.js	15536	D	Loading gateway data...	app.loading_gateway_data
clawmetry/static/js/app.js	15544	D	Loading AI brain data...	app.loading_brain_data
clawmetry/static/js/app.js	15553	D	Analyzing costs...	app.analyzing_costs
clawmetry/static/js/app.js	15582	D	Loading skills…	app.loading_skills
clawmetry/static/js/app.js	15630	B	Failed to load skills: ' + escapeHtml(e.message) +	app.failed_load_skills_escapehtml_message
clawmetry/static/js/app.js	15639	D	Analyzing your patterns...	app.analyzing_your_patterns
clawmetry/static/js/app.js	16780	D	💰 Cost Optimizer	app.cost_optimizer
clawmetry/static/js/app.js	16789	D	🧠 Automation Advisor	app.automation_advisor
clawmetry/static/js/app.js	16794	D	🧠 Loading automation analysis...	app.loading_automation_analysis
clawmetry/static/js/app.js	16840	D	⚠️ Analysis Unavailable Unable to load automation analysis:	app.analysis_unavailable_unable_load_automation
clawmetry/static/js/app.js	17529	B	' + escHtml(reason) +	app.eschtml_reason
clawmetry/static/js/app.js	17641	B	' + escHtml(reason) +	app.eschtml_reason
clawmetry/static/js/app.js	17726	D	Brain events	app.brain_events
clawmetry/static/js/app.js	17973	D	Ingest temporarily offline. Tool timeline unavailable; the local_store writer is not responding.	app.ingest_temporarily_offline_tool_timeline
clawmetry/static/js/app.js	18059	B	' + escHtml(data.error) +	app.eschtml_data_error
clawmetry/static/js/app.js	18139	B	Failed to load model journey: ' + escHtml(e.message || String(e)) +	app.failed_load_model_journey_eschtml
clawmetry/static/js/app.js	18642	B	' + rows +	app.rows
